App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
cursoagil_proyectos,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\cursoagil_proyectos\proyectos\al095664\src\test\java\org\uji\agile\contactsbook\tests\EmailTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\cursoagil_proyectos\proyectos\al095664\src\main\java\org\uji\agile\contactsbook\Email.java,cursoagil_proyectos/proyectos/al095664/src/test/java/org/uji/agile/contactsbook/tests/EmailTest.java,cursoagil_proyectos/proyectos/al095664/src/main/java/org/uji/agile/contactsbook/Email.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
CyanMobile_android_packages_providers_ContactsProvider_cyanmobile,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\CyanMobile_android_packages_providers_ContactsProvider_cyanmobile\android_packages_providers_ContactsProvider_cyanmobile\tests\src\com\android\providers\contacts\ContactLookupKeyTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\CyanMobile_android_packages_providers_ContactsProvider_cyanmobile\android_packages_providers_ContactsProvider_cyanmobile\src\com\android\providers\contacts\ContactLookupKey.java,CyanMobile_android_packages_providers_ContactsProvider_cyanmobile/android_packages_providers_ContactsProvider_cyanmobile/tests/src/com/android/providers/contacts/ContactLookupKeyTest.java,CyanMobile_android_packages_providers_ContactsProvider_cyanmobile/android_packages_providers_ContactsProvider_cyanmobile/src/com/android/providers/contacts/ContactLookupKey.java,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false
caelum_vraptor,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\caelum_vraptor\vraptor\vraptor-core\src\test\java\br\com\caelum\vraptor\core\ToInstantiateInterceptorHandlerTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\caelum_vraptor\vraptor\vraptor-core\src\main\java\br\com\caelum\vraptor\core\ToInstantiateInterceptorHandler.java,caelum_vraptor/vraptor/vraptor-core/src/test/java/br/com/caelum/vraptor/core/ToInstantiateInterceptorHandlerTest.java,caelum_vraptor/vraptor/vraptor-core/src/main/java/br/com/caelum/vraptor/core/ToInstantiateInterceptorHandler.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
C4J-Team_C4J,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\C4J-Team_C4J\C4J\c4j\src\test\java\de\vksi\c4j\internal\compiler\NestedExpTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\C4J-Team_C4J\C4J\c4j\src\main\java\de\vksi\c4j\internal\compiler\NestedExp.java,C4J-Team_C4J/C4J/c4j/src/test/java/de/vksi/c4j/internal/compiler/NestedExpTest.java,C4J-Team_C4J/C4J/c4j/src/main/java/de/vksi/c4j/internal/compiler/NestedExp.java,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
cdk_cdk,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\cdk_cdk\cdk\base\dict\src\test\java\org\openscience\cdk\dict\EntryTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\cdk_cdk\cdk\base\dict\src\main\java\org\openscience\cdk\dict\Entry.java,cdk_cdk/cdk/base/dict/src/test/java/org/openscience/cdk/dict/EntryTest.java,cdk_cdk/cdk/base/dict/src/main/java/org/openscience/cdk/dict/Entry.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
changshan_struts,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\changshan_struts\struts\2.2\src\core\src\test\java\org\apache\struts2\views\jsp\ui\ResetTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\changshan_struts\struts\2.2\src\core\src\main\java\org\apache\struts2\components\Reset.java,changshan_struts/struts/2.2/src/core/src/test/java/org/apache/struts2/views/jsp/ui/ResetTest.java,changshan_struts/struts/2.2/src/core/src/main/java/org/apache/struts2/components/Reset.java,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false
cdk_cdk,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\cdk_cdk\cdk\base\datadebug\src\test\java\org\openscience\cdk\debug\DebugAtomContainerTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\cdk_cdk\cdk\base\datadebug\src\main\java\org\openscience\cdk\debug\DebugAtomContainer.java,cdk_cdk/cdk/base/datadebug/src/test/java/org/openscience/cdk/debug/DebugAtomContainerTest.java,cdk_cdk/cdk/base/datadebug/src/main/java/org/openscience/cdk/debug/DebugAtomContainer.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false
cpesch_RouteConverter,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\cpesch_RouteConverter\RouteConverter\brouter\src\test\java\slash\navigation\brouter\BRouterTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\cpesch_RouteConverter\RouteConverter\brouter\src\main\java\slash\navigation\brouter\BRouter.java,cpesch_RouteConverter/RouteConverter/brouter/src/test/java/slash/navigation/brouter/BRouterTest.java,cpesch_RouteConverter/RouteConverter/brouter/src/main/java/slash/navigation/brouter/BRouter.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
Cloudname_cloudname,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\Cloudname_cloudname\cloudname\cn-service\src\test\java\org\cloudname\service\ServiceDataTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\Cloudname_cloudname\cloudname\cn-service\src\main\java\org\cloudname\service\ServiceData.java,Cloudname_cloudname/cloudname/cn-service/src/test/java/org/cloudname/service/ServiceDataTest.java,Cloudname_cloudname/cloudname/cn-service/src/main/java/org/cloudname/service/ServiceData.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
csrg-utfsm_acscb,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\csrg-utfsm_acscb\acscb\ACS\LGPL\CommonSoftware\acscommandcenter\test\alma\acs\commandcenter\app\CommandCenterLogicTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\csrg-utfsm_acscb\acscb\ACS\LGPL\CommonSoftware\acscommandcenter\src\alma\acs\commandcenter\app\CommandCenterLogic.java,csrg-utfsm_acscb/acscb/ACS/LGPL/CommonSoftware/acscommandcenter/test/alma/acs/commandcenter/app/CommandCenterLogicTest.java,csrg-utfsm_acscb/acscb/ACS/LGPL/CommonSoftware/acscommandcenter/src/alma/acs/commandcenter/app/CommandCenterLogic.java,true,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false
