App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
DSpace_DSpace,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\DSpace_DSpace\DSpace\dspace-api\src\test\java\org\dspace\eperson\GroupTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\DSpace_DSpace\DSpace\dspace-api\src\main\java\org\dspace\eperson\Group.java,DSpace_DSpace/DSpace/dspace-api/src/test/java/org/dspace/eperson/GroupTest.java,DSpace_DSpace/DSpace/dspace-api/src/main/java/org/dspace/eperson/Group.java,true,true,false,false,false,true,false,false,true,false,false,false,false,true,true,true,false,false,false,true,false
dynjs_dynjs,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dynjs_dynjs\dynjs\src\test\java\org\dynjs\cli\ArgumentsTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dynjs_dynjs\dynjs\src\main\java\org\dynjs\cli\Arguments.java,dynjs_dynjs/dynjs/src/test/java/org/dynjs/cli/ArgumentsTest.java,dynjs_dynjs/dynjs/src/main/java/org/dynjs/cli/Arguments.java,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false
dluebke_BPELUnit,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dluebke_BPELUnit\BPELUnit\net.bpelunit.utils.testsuitesplitter\src\test\java\net\bpelunit\utils\testsuitesplitter\SplitIntoPermutationsTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dluebke_BPELUnit\BPELUnit\net.bpelunit.utils.testsuitesplitter\src\main\java\net\bpelunit\utils\testsuitesplitter\SplitIntoPermutations.java,dluebke_BPELUnit/BPELUnit/net.bpelunit.utils.testsuitesplitter/src/test/java/net/bpelunit/utils/testsuitesplitter/SplitIntoPermutationsTest.java,dluebke_BPELUnit/BPELUnit/net.bpelunit.utils.testsuitesplitter/src/main/java/net/bpelunit/utils/testsuitesplitter/SplitIntoPermutations.java,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
droolsjbpm_drools,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-core\src\test\java\org\drools\core\util\MVELSafeHelperTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-core\src\main\java\org\drools\core\util\MVELSafeHelper.java,droolsjbpm_drools/drools/drools-core/src/test/java/org/drools/core/util/MVELSafeHelperTest.java,droolsjbpm_drools/drools/drools-core/src/main/java/org/drools/core/util/MVELSafeHelper.java,true,false,false,false,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false
droolsjbpm_jbpm-console-ng,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_jbpm-console-ng\jbpm-console-ng\jbpm-console-ng-human-tasks\jbpm-console-ng-human-tasks-backend\src\test\java\org\jbpm\console\ng\ht\backend\server\DataSetDefsBootstrapTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_jbpm-console-ng\jbpm-console-ng\jbpm-console-ng-dashboard\jbpm-console-ng-dashboard-backend\src\main\java\org\jbpm\dashboard\renderer\backend\DataSetDefsBootstrap.java,droolsjbpm_jbpm-console-ng/jbpm-console-ng/jbpm-console-ng-human-tasks/jbpm-console-ng-human-tasks-backend/src/test/java/org/jbpm/console/ng/ht/backend/server/DataSetDefsBootstrapTest.java,droolsjbpm_jbpm-console-ng/jbpm-console-ng/jbpm-console-ng-dashboard/jbpm-console-ng-dashboard-backend/src/main/java/org/jbpm/dashboard/renderer/backend/DataSetDefsBootstrap.java,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
droolsjbpm_drools,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-compiler\src\test\java\org\drools\compiler\commons\jci\compilers\NativeJavaCompilerSettingsTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-compiler\src\main\java\org\drools\compiler\commons\jci\compilers\NativeJavaCompilerSettings.java,droolsjbpm_drools/drools/drools-compiler/src/test/java/org/drools/compiler/commons/jci/compilers/NativeJavaCompilerSettingsTest.java,droolsjbpm_drools/drools/drools-compiler/src/main/java/org/drools/compiler/commons/jci/compilers/NativeJavaCompilerSettings.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false
davros-_platform_frameworks_base,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\davros-_platform_frameworks_base\platform_frameworks_base\core\tests\coretests\src\android\widget\listview\arrowscroll\ListItemFocusablesCloseTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\davros-_platform_frameworks_base\platform_frameworks_base\core\tests\coretests\src\android\widget\listview\ListItemFocusablesClose.java,davros-_platform_frameworks_base/platform_frameworks_base/core/tests/coretests/src/android/widget/listview/arrowscroll/ListItemFocusablesCloseTest.java,davros-_platform_frameworks_base/platform_frameworks_base/core/tests/coretests/src/android/widget/listview/ListItemFocusablesClose.java,true,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
dprince_agentcmd,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dprince_agentcmd\agentcmd\src\test\agentcmd\XenStoreClientTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dprince_agentcmd\agentcmd\src\java\agentcmd\XenStoreClient.java,dprince_agentcmd/agentcmd/src/test/agentcmd/XenStoreClientTest.java,dprince_agentcmd/agentcmd/src/java/agentcmd/XenStoreClient.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false
dpschramm_pimp,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dpschramm_pimp\pimp\test\pimp\form\FormBuilderTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dpschramm_pimp\pimp\src\pimp\form\FormBuilder.java,dpschramm_pimp/pimp/test/pimp/form/FormBuilderTest.java,dpschramm_pimp/pimp/src/pimp/form/FormBuilder.java,true,true,false,false,false,true,true,false,true,false,false,false,false,false,true,true,true,false,false,false,false
droolsjbpm_drools,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-core\src\test\java\org\drools\core\base\ClassFieldAccessorTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-core\src\main\java\org\drools\core\base\ClassFieldAccessor.java,droolsjbpm_drools/drools/drools-core/src/test/java/org/drools/core/base/ClassFieldAccessorTest.java,droolsjbpm_drools/drools/drools-core/src/main/java/org/drools/core/base/ClassFieldAccessor.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
droolsjbpm_drools,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-examples-api\kie-module-from-multiple-files\src\test\java\org\drools\example\api\kiemodulefrommultiplefiles\KieModuleFromMultipleFilesExampleTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-examples-api\kie-module-from-multiple-files\src\main\java\org\drools\example\api\kiemodulefrommultiplefiles\KieModuleFromMultipleFilesExample.java,droolsjbpm_drools/drools/drools-examples-api/kie-module-from-multiple-files/src/test/java/org/drools/example/api/kiemodulefrommultiplefiles/KieModuleFromMultipleFilesExampleTest.java,droolsjbpm_drools/drools/drools-examples-api/kie-module-from-multiple-files/src/main/java/org/drools/example/api/kiemodulefrommultiplefiles/KieModuleFromMultipleFilesExample.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Data2Semantics_d2s-tools,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\Data2Semantics_d2s-tools\d2s-tools\proppred\src\test\java\org\data2semantics\proppred\kernels\RDFWLSubTreeKernelTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\Data2Semantics_d2s-tools\d2s-tools\proppred\src\main\java\org\data2semantics\proppred\kernels\rdfgraphkernels\RDFWLSubTreeKernel.java,Data2Semantics_d2s-tools/d2s-tools/proppred/src/test/java/org/data2semantics/proppred/kernels/RDFWLSubTreeKernelTest.java,Data2Semantics_d2s-tools/d2s-tools/proppred/src/main/java/org/data2semantics/proppred/kernels/rdfgraphkernels/RDFWLSubTreeKernel.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
datacite_mds,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\datacite_mds\mds\src\test\java\org\datacite\mds\web\ui\controller\ChangePasswordControllerTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\datacite_mds\mds\src\main\java\org\datacite\mds\web\ui\controller\ChangePasswordController.java,datacite_mds/mds/src/test/java/org/datacite/mds/web/ui/controller/ChangePasswordControllerTest.java,datacite_mds/mds/src/main/java/org/datacite/mds/web/ui/controller/ChangePasswordController.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false
droolsjbpm_jbpm,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_jbpm\jbpm\jbpm-flow\src\test\java\org\jbpm\ruleflow\core\validation\RuleFlowProcessValidatorTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_jbpm\jbpm\jbpm-flow\src\main\java\org\jbpm\ruleflow\core\validation\RuleFlowProcessValidator.java,droolsjbpm_jbpm/jbpm/jbpm-flow/src/test/java/org/jbpm/ruleflow/core/validation/RuleFlowProcessValidatorTest.java,droolsjbpm_jbpm/jbpm/jbpm-flow/src/main/java/org/jbpm/ruleflow/core/validation/RuleFlowProcessValidator.java,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
datacite_mds,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\datacite_mds\mds\src\test\java\org\datacite\mds\service\impl\DoiServiceImplTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\datacite_mds\mds\src\main\java\org\datacite\mds\service\impl\DoiServiceImpl.java,datacite_mds/mds/src/test/java/org/datacite/mds/service/impl/DoiServiceImplTest.java,datacite_mds/mds/src/main/java/org/datacite/mds/service/impl/DoiServiceImpl.java,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,true,false,false,false,false,false
