App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
eclipse_birt,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_birt\birt\engine\org.eclipse.birt.report.engine.tests\test\org\eclipse\birt\report\engine\ir\ImageItemTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_birt\birt\model\org.eclipse.birt.report.model\src\org\eclipse\birt\report\model\elements\ImageItem.java,eclipse_birt/birt/engine/org.eclipse.birt.report.engine.tests/test/org/eclipse/birt/report/engine/ir/ImageItemTest.java,eclipse_birt/birt/model/org.eclipse.birt.report.model/src/org/eclipse/birt/report/model/elements/ImageItem.java,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false
eclipse_egit-github,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_egit-github\egit-github\org.eclipse.egit.github.core.tests\src\org\eclipse\egit\github\core\tests\live\MilestoneTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_egit-github\egit-github\org.eclipse.egit.github.core\src\org\eclipse\egit\github\core\Milestone.java,eclipse_egit-github/egit-github/org.eclipse.egit.github.core.tests/src/org/eclipse/egit/github/core/tests/live/MilestoneTest.java,eclipse_egit-github/egit-github/org.eclipse.egit.github.core/src/org/eclipse/egit/github/core/Milestone.java,true,true,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false
eclipse_birt,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_birt\birt\data\org.eclipse.birt.report.data.oda.jdbc.tests\test\org\eclipse\birt\report\data\oda\jdbc\ResultSetMetaDataTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_birt\birt\data\org.eclipse.birt.data\src\org\eclipse\birt\data\engine\odaconsumer\ResultSetMetaData.java,eclipse_birt/birt/data/org.eclipse.birt.report.data.oda.jdbc.tests/test/org/eclipse/birt/report/data/oda/jdbc/ResultSetMetaDataTest.java,eclipse_birt/birt/data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/odaconsumer/ResultSetMetaData.java,true,true,false,false,false,true,true,false,true,false,false,false,false,true,true,false,true,false,false,false,false
eclipse_birt,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_birt\birt\engine\org.eclipse.birt.report.engine.tests\test\org\eclipse\birt\report\engine\executor\template\TemplateExecutorTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_birt\birt\engine\org.eclipse.birt.report.engine\src\org\eclipse\birt\report\engine\executor\TemplateExecutor.java,eclipse_birt/birt/engine/org.eclipse.birt.report.engine.tests/test/org/eclipse/birt/report/engine/executor/template/TemplateExecutorTest.java,eclipse_birt/birt/engine/org.eclipse.birt.report.engine/src/org/eclipse/birt/report/engine/executor/TemplateExecutor.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
erma_erma,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\erma_erma\erma\erma-api\test\src\java\com\orbitz\monitoring\api\engine\MapBasedInheritableStrategyTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\erma_erma\erma\erma-api\src\java\com\orbitz\monitoring\api\engine\MapBasedInheritableStrategy.java,erma_erma/erma/erma-api/test/src/java/com/orbitz/monitoring/api/engine/MapBasedInheritableStrategyTest.java,erma_erma/erma/erma-api/src/java/com/orbitz/monitoring/api/engine/MapBasedInheritableStrategy.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false
Evervolv_android_frameworks_base,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Evervolv_android_frameworks_base\android_frameworks_base\location\tests\locationtests\src\android\location\LocationTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Evervolv_android_frameworks_base\android_frameworks_base\location\java\android\location\Location.java,Evervolv_android_frameworks_base/android_frameworks_base/location/tests/locationtests/src/android/location/LocationTest.java,Evervolv_android_frameworks_base/android_frameworks_base/location/java/android/location/Location.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
eclipse_mylyn.tasks,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_mylyn.tasks\mylyn.tasks\org.eclipse.mylyn.tasks.tests\src\org\eclipse\mylyn\tasks\tests\DateRangeTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_mylyn.tasks\mylyn.tasks\org.eclipse.mylyn.tasks.core\src\org\eclipse\mylyn\internal\tasks\core\DateRange.java,eclipse_mylyn.tasks/mylyn.tasks/org.eclipse.mylyn.tasks.tests/src/org/eclipse/mylyn/tasks/tests/DateRangeTest.java,eclipse_mylyn.tasks/mylyn.tasks/org.eclipse.mylyn.tasks.core/src/org/eclipse/mylyn/internal/tasks/core/DateRange.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
eclipse_cdt,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_cdt\cdt\core\org.eclipse.cdt.ui.tests\ui\org\eclipse\cdt\ui\tests\text\IndentActionTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\eclipse_cdt\cdt\core\org.eclipse.cdt.ui\src\org\eclipse\cdt\internal\ui\actions\IndentAction.java,eclipse_cdt/cdt/core/org.eclipse.cdt.ui.tests/ui/org/eclipse/cdt/ui/tests/text/IndentActionTest.java,eclipse_cdt/cdt/core/org.eclipse.cdt.ui/src/org/eclipse/cdt/internal/ui/actions/IndentAction.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Evervolv_android_frameworks_base,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Evervolv_android_frameworks_base\android_frameworks_base\packages\MtpDocumentsProvider\tests\src\com\android\mtp\MtpManagerTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Evervolv_android_frameworks_base\android_frameworks_base\packages\MtpDocumentsProvider\src\com\android\mtp\MtpManager.java,Evervolv_android_frameworks_base/android_frameworks_base/packages/MtpDocumentsProvider/tests/src/com/android/mtp/MtpManagerTest.java,Evervolv_android_frameworks_base/android_frameworks_base/packages/MtpDocumentsProvider/src/com/android/mtp/MtpManager.java,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false
Evervolv_android_libcore,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Evervolv_android_libcore\android_libcore\luni\src\test\java\org\apache\harmony\crypto\tests\javax\crypto\spec\RC2ParameterSpecTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Evervolv_android_libcore\android_libcore\luni\src\main\java\javax\crypto\spec\RC2ParameterSpec.java,Evervolv_android_libcore/android_libcore/luni/src/test/java/org/apache/harmony/crypto/tests/javax/crypto/spec/RC2ParameterSpecTest.java,Evervolv_android_libcore/android_libcore/luni/src/main/java/javax/crypto/spec/RC2ParameterSpec.java,false,true,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false
