App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
fozziethebeat_C-Cat,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fozziethebeat_C-Cat\C-Cat\wordnet\src\test\java\gov\llnl\ontology\wordnet\sim\LinSimilarityTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fozziethebeat_C-Cat\C-Cat\wordnet\src\main\java\gov\llnl\ontology\wordnet\sim\LinSimilarity.java,fozziethebeat_C-Cat/C-Cat/wordnet/src/test/java/gov/llnl/ontology/wordnet/sim/LinSimilarityTest.java,fozziethebeat_C-Cat/C-Cat/wordnet/src/main/java/gov/llnl/ontology/wordnet/sim/LinSimilarity.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
flowerrrr_RMT,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\flowerrrr_RMT\RMT\rmt\src\test\java\de\flower\common\validation\unique\impl\UniqueDefFactoryTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\flowerrrr_RMT\RMT\rmt\src\main\java\de\flower\common\validation\unique\impl\UniqueDefFactory.java,flowerrrr_RMT/RMT/rmt/src/test/java/de/flower/common/validation/unique/impl/UniqueDefFactoryTest.java,flowerrrr_RMT/RMT/rmt/src/main/java/de/flower/common/validation/unique/impl/UniqueDefFactory.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
floodlight_ubuntu-packaging-floodlight,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\floodlight_ubuntu-packaging-floodlight\ubuntu-packaging-floodlight\src\test\java\org\openflow\util\U32Test.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\floodlight_ubuntu-packaging-floodlight\ubuntu-packaging-floodlight\src\main\java\org\openflow\util\U32.java,floodlight_ubuntu-packaging-floodlight/ubuntu-packaging-floodlight/src/test/java/org/openflow/util/U32Test.java,floodlight_ubuntu-packaging-floodlight/ubuntu-packaging-floodlight/src/main/java/org/openflow/util/U32.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false
firefoxmmx2_jdy,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\firefoxmmx2_jdy\jdy\src\com\aisino2\sysadmin\test\DepartmentTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\firefoxmmx2_jdy\jdy\src\com\aisino2\sysadmin\domain\Department.java,firefoxmmx2_jdy/jdy/src/com/aisino2/sysadmin/test/DepartmentTest.java,firefoxmmx2_jdy/jdy/src/com/aisino2/sysadmin/domain/Department.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false
fabiomaffioletti_jsondoc,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fabiomaffioletti_jsondoc\jsondoc\jsondoc-core\src\test\java\org\jsondoc\core\doc\ApiMethodDocTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fabiomaffioletti_jsondoc\jsondoc\jsondoc-core\src\main\java\org\jsondoc\core\pojo\ApiMethodDoc.java,fabiomaffioletti_jsondoc/jsondoc/jsondoc-core/src/test/java/org/jsondoc/core/doc/ApiMethodDocTest.java,fabiomaffioletti_jsondoc/jsondoc/jsondoc-core/src/main/java/org/jsondoc/core/pojo/ApiMethodDoc.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
fvetsper_SimpleDB,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fvetsper_SimpleDB\SimpleDB\6.830-lab_1\test\simpledb\IntHistogramTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fvetsper_SimpleDB\SimpleDB\6.830-lab_1\src\simpledb\optimizing\statistics\IntHistogram.java,fvetsper_SimpleDB/SimpleDB/6.830-lab_1/test/simpledb/IntHistogramTest.java,fvetsper_SimpleDB/SimpleDB/6.830-lab_1/src/simpledb/optimizing/statistics/IntHistogram.java,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
fabiomaffioletti_jsondoc,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fabiomaffioletti_jsondoc\jsondoc\jsondoc-core\src\test\java\org\jsondoc\core\doc\ApiObjectDocTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fabiomaffioletti_jsondoc\jsondoc\jsondoc-core\src\main\java\org\jsondoc\core\pojo\ApiObjectDoc.java,fabiomaffioletti_jsondoc/jsondoc/jsondoc-core/src/test/java/org/jsondoc/core/doc/ApiObjectDocTest.java,fabiomaffioletti_jsondoc/jsondoc/jsondoc-core/src/main/java/org/jsondoc/core/pojo/ApiObjectDoc.java,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
figarocms_flume-plugins,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\figarocms_flume-plugins\flume-plugins\flume-filter-plugin\src\test\java\fr\figarocms\flume\filter\config\BodyPredicateBuilderTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\figarocms_flume-plugins\flume-plugins\flume-filter-plugin\src\main\java\fr\figarocms\flume\filter\config\BodyPredicateBuilder.java,figarocms_flume-plugins/flume-plugins/flume-filter-plugin/src/test/java/fr/figarocms/flume/filter/config/BodyPredicateBuilderTest.java,figarocms_flume-plugins/flume-plugins/flume-filter-plugin/src/main/java/fr/figarocms/flume/filter/config/BodyPredicateBuilder.java,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
forcedotcom_java-sdk,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\forcedotcom_java-sdk\java-sdk\codegen\src\test\java\com\force\sdk\codegen\filter\ObjectNameWithRefFilterTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\forcedotcom_java-sdk\java-sdk\codegen\src\main\java\com\force\sdk\codegen\filter\ObjectNameWithRefFilter.java,forcedotcom_java-sdk/java-sdk/codegen/src/test/java/com/force/sdk/codegen/filter/ObjectNameWithRefFilterTest.java,forcedotcom_java-sdk/java-sdk/codegen/src/main/java/com/force/sdk/codegen/filter/ObjectNameWithRefFilter.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
fluxtream_fluxtream-app,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fluxtream_fluxtream-app\fluxtream-app\fluxtream-core\src\test\java\org\fluxtream\core\utils\HashUtilsTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\fluxtream_fluxtream-app\fluxtream-app\fluxtream-core\src\main\java\org\fluxtream\core\utils\HashUtils.java,fluxtream_fluxtream-app/fluxtream-app/fluxtream-core/src/test/java/org/fluxtream/core/utils/HashUtilsTest.java,fluxtream_fluxtream-app/fluxtream-app/fluxtream-core/src/main/java/org/fluxtream/core/utils/HashUtils.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
