App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
geoserver_geoserver,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\geoserver_geoserver\geoserver\src\wms\src\test\java\org\geoserver\wms\map\GetMapXmlReaderTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\geoserver_geoserver\geoserver\src\wms\src\main\java\org\geoserver\wms\map\GetMapXmlReader.java,geoserver_geoserver/geoserver/src/wms/src/test/java/org/geoserver/wms/map/GetMapXmlReaderTest.java,geoserver_geoserver/geoserver/src/wms/src/main/java/org/geoserver/wms/map/GetMapXmlReader.java,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,false,false,true,false
GeoLatte_geolatte-common,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\GeoLatte_geolatte-common\geolatte-common\src\test\java\org\geolatte\common\expressions\AndTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\GeoLatte_geolatte-common\geolatte-common\src\main\java\org\geolatte\common\expressions\And.java,GeoLatte_geolatte-common/geolatte-common/src/test/java/org/geolatte/common/expressions/AndTest.java,GeoLatte_geolatte-common/geolatte-common/src/main/java/org/geolatte/common/expressions/And.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false
gabesoft_topc,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\gabesoft_topc\topc\test\easy\CycleminTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\gabesoft_topc\topc\src\easy\Cyclemin.java,gabesoft_topc/topc/test/easy/CycleminTest.java,gabesoft_topc/topc/src/easy/Cyclemin.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
gburd_wave,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\gburd_wave\wave\test\org\waveprotocol\wave\client\scheduler\IdempotentSchedulerTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\gburd_wave\wave\src\org\waveprotocol\wave\client\scheduler\IdempotentScheduler.java,gburd_wave/wave/test/org/waveprotocol/wave/client/scheduler/IdempotentSchedulerTest.java,gburd_wave/wave/src/org/waveprotocol/wave/client/scheduler/IdempotentScheduler.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false
gabesoft_topc,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\gabesoft_topc\topc\test.archive.1\easy\GUMIAndSongsDiv1Test.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\gabesoft_topc\topc\src.archive.1\easy\GUMIAndSongsDiv1.java,gabesoft_topc/topc/test.archive.1/easy/GUMIAndSongsDiv1Test.java,gabesoft_topc/topc/src.archive.1/easy/GUMIAndSongsDiv1.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
geotools_geotools,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\geotools_geotools\geotools\modules\library\main\src\test\java\org\geotools\temporal\reference\DefaultOrdinalEraTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\geotools_geotools\geotools\modules\library\main\src\main\java\org\geotools\temporal\reference\DefaultOrdinalEra.java,geotools_geotools/geotools/modules/library/main/src/test/java/org/geotools/temporal/reference/DefaultOrdinalEraTest.java,geotools_geotools/geotools/modules/library/main/src/main/java/org/geotools/temporal/reference/DefaultOrdinalEra.java,true,false,false,false,false,false,true,false,false,true,true,false,false,true,true,false,false,false,false,false,false
geotools_geotools,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\geotools_geotools\geotools\modules\library\render\src\test\java\org\geotools\renderer\style\DynamicSymbolFactoryFinderTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\geotools_geotools\geotools\modules\library\render\src\main\java\org\geotools\renderer\style\DynamicSymbolFactoryFinder.java,geotools_geotools/geotools/modules/library/render/src/test/java/org/geotools/renderer/style/DynamicSymbolFactoryFinderTest.java,geotools_geotools/geotools/modules/library/render/src/main/java/org/geotools/renderer/style/DynamicSymbolFactoryFinder.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
geotools_geotools,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\geotools_geotools\geotools\modules\unsupported\geometry\src\test\java\org\geotools\geometry\iso\util\algorithmND\AlgoRectangleNDTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\geotools_geotools\geotools\modules\unsupported\geometry\src\main\java\org\geotools\geometry\iso\util\algorithmND\AlgoRectangleND.java,geotools_geotools/geotools/modules/unsupported/geometry/src/test/java/org/geotools/geometry/iso/util/algorithmND/AlgoRectangleNDTest.java,geotools_geotools/geotools/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/util/algorithmND/AlgoRectangleND.java,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
glassfish,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\glassfish\appserver\libpam4j\src\test\java\org\jvnet\libpam\UnixUserTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\glassfish\appserver\libpam4j\src\main\java\org\jvnet\libpam\UnixUser.java,glassfish/appserver/libpam4j/src/test/java/org/jvnet/libpam/UnixUserTest.java,glassfish/appserver/libpam4j/src/main/java/org/jvnet/libpam/UnixUser.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
goldmansachs_gs-collections,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\goldmansachs_gs-collections\gs-collections\unit-tests\src\test\java\com\gs\collections\impl\parallel\ParallelArrayIterateTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\goldmansachs_gs-collections\gs-collections\collections\src\main\java\com\gs\collections\impl\parallel\ParallelArrayIterate.java,goldmansachs_gs-collections/gs-collections/unit-tests/src/test/java/com/gs/collections/impl/parallel/ParallelArrayIterateTest.java,goldmansachs_gs-collections/gs-collections/collections/src/main/java/com/gs/collections/impl/parallel/ParallelArrayIterate.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false
