App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
Helbrass_openjdk-fontfix,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Helbrass_openjdk-fontfix\openjdk-fontfix\openjdk7\jdk\test\sun\net\idn\PunycodeTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Helbrass_openjdk-fontfix\openjdk-fontfix\openjdk7\jdk\src\share\classes\sun\net\idn\Punycode.java,Helbrass_openjdk-fontfix/openjdk-fontfix/openjdk7/jdk/test/sun/net/idn/PunycodeTest.java,Helbrass_openjdk-fontfix/openjdk-fontfix/openjdk7/jdk/src/share/classes/sun/net/idn/Punycode.java,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
hampelratte_svdrp4j,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hampelratte_svdrp4j\svdrp4j\src\test\java\org\hampelratte\svdrp\parser\DVBChannelLineParserTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hampelratte_svdrp4j\svdrp4j\src\main\java\org\hampelratte\svdrp\parsers\DVBChannelLineParser.java,hampelratte_svdrp4j/svdrp4j/src/test/java/org/hampelratte/svdrp/parser/DVBChannelLineParserTest.java,hampelratte_svdrp4j/svdrp4j/src/main/java/org/hampelratte/svdrp/parsers/DVBChannelLineParser.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
hazelcast_hazelcast,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\test\java\com\hazelcast\internal\networking\nonblocking\iobalancer\MonkeyMigrationStrategyTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\main\java\com\hazelcast\internal\networking\nonblocking\iobalancer\MonkeyMigrationStrategy.java,hazelcast_hazelcast/hazelcast/hazelcast/src/test/java/com/hazelcast/internal/networking/nonblocking/iobalancer/MonkeyMigrationStrategyTest.java,hazelcast_hazelcast/hazelcast/hazelcast/src/main/java/com/hazelcast/internal/networking/nonblocking/iobalancer/MonkeyMigrationStrategy.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false
HGitMaster_geotools-osgi,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\library\referencing\src\test\java\org\geotools\referencing\datum\DefaultTemporalDatumTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\library\referencing\src\main\java\org\geotools\referencing\datum\DefaultTemporalDatum.java,HGitMaster_geotools-osgi/geotools-osgi/modules/library/referencing/src/test/java/org/geotools/referencing/datum/DefaultTemporalDatumTest.java,HGitMaster_geotools-osgi/geotools-osgi/modules/library/referencing/src/main/java/org/geotools/referencing/datum/DefaultTemporalDatum.java,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false
HGitMaster_geotools-osgi,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\extension\xsd\xsd-filter\src\test\java\org\geotools\filter\v1_0\capabilities\FunctionsTypeBindingTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\extension\xsd\xsd-filter\src\main\java\org\geotools\filter\v1_0\capabilities\FunctionsTypeBinding.java,HGitMaster_geotools-osgi/geotools-osgi/modules/extension/xsd/xsd-filter/src/test/java/org/geotools/filter/v1_0/capabilities/FunctionsTypeBindingTest.java,HGitMaster_geotools-osgi/geotools-osgi/modules/extension/xsd/xsd-filter/src/main/java/org/geotools/filter/v1_0/capabilities/FunctionsTypeBinding.java,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
hazelcast_hazelcast,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\test\java\com\hazelcast\internal\cluster\impl\ClusterStateManagerTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\main\java\com\hazelcast\internal\cluster\impl\ClusterStateManager.java,hazelcast_hazelcast/hazelcast/hazelcast/src/test/java/com/hazelcast/internal/cluster/impl/ClusterStateManagerTest.java,hazelcast_hazelcast/hazelcast/hazelcast/src/main/java/com/hazelcast/internal/cluster/impl/ClusterStateManager.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
hceylan_guava,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hceylan_guava\guava\guava-tests\test\com\google\common\hash\FunnelsTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hceylan_guava\guava\guava\src\com\google\common\hash\Funnels.java,hceylan_guava/guava/guava-tests/test/com/google/common/hash/FunnelsTest.java,hceylan_guava/guava/guava/src/com/google/common/hash/Funnels.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false
Helbrass_openjdk-fontfix,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Helbrass_openjdk-fontfix\openjdk-fontfix\openjdk7\jdk\test\sun\util\logging\PlatformLoggerTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Helbrass_openjdk-fontfix\openjdk-fontfix\openjdk7\jdk\src\share\classes\sun\util\logging\PlatformLogger.java,Helbrass_openjdk-fontfix/openjdk-fontfix/openjdk7/jdk/test/sun/util/logging/PlatformLoggerTest.java,Helbrass_openjdk-fontfix/openjdk-fontfix/openjdk7/jdk/src/share/classes/sun/util/logging/PlatformLogger.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
henryyan_springside-core-3.3.4.x,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\henryyan_springside-core-3.3.4.x\springside-core-3.3.4.x\src\test\java\org\springside\modules\unit\security\springsecurity\SpringSecurityUtilsTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\henryyan_springside-core-3.3.4.x\springside-core-3.3.4.x\src\main\java\org\springside\modules\security\springsecurity\SpringSecurityUtils.java,henryyan_springside-core-3.3.4.x/springside-core-3.3.4.x/src/test/java/org/springside/modules/unit/security/springsecurity/SpringSecurityUtilsTest.java,henryyan_springside-core-3.3.4.x/springside-core-3.3.4.x/src/main/java/org/springside/modules/security/springsecurity/SpringSecurityUtils.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
hiromasah_charsiu,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hiromasah_charsiu\charsiu\charsiu-udf\src\test\java\jp\ac\u\tokyo\m\pig\udf\eval\span\AddDaySpanTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hiromasah_charsiu\charsiu\charsiu-udf\src\main\java\jp\ac\u\tokyo\m\pig\udf\eval\span\AddDaySpan.java,hiromasah_charsiu/charsiu/charsiu-udf/src/test/java/jp/ac/u/tokyo/m/pig/udf/eval/span/AddDaySpanTest.java,hiromasah_charsiu/charsiu/charsiu-udf/src/main/java/jp/ac/u/tokyo/m/pig/udf/eval/span/AddDaySpan.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
hector-client_hector,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hector-client_hector\hector\core\src\test\java\me\prettyprint\hector\api\ddl\ComparatorTypeTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hector-client_hector\hector\core\src\main\java\me\prettyprint\hector\api\ddl\ComparatorType.java,hector-client_hector/hector/core/src/test/java/me/prettyprint/hector/api/ddl/ComparatorTypeTest.java,hector-client_hector/hector/core/src/main/java/me/prettyprint/hector/api/ddl/ComparatorType.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
hazelcast_hazelcast,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\test\java\com\hazelcast\query\impl\predicates\QueryOptimizerFactoryTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\main\java\com\hazelcast\query\impl\predicates\QueryOptimizerFactory.java,hazelcast_hazelcast/hazelcast/hazelcast/src/test/java/com/hazelcast/query/impl/predicates/QueryOptimizerFactoryTest.java,hazelcast_hazelcast/hazelcast/hazelcast/src/main/java/com/hazelcast/query/impl/predicates/QueryOptimizerFactory.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
hibernate_hibernate-validator,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hibernate_hibernate-validator\hibernate-validator\engine\src\test\java\org\hibernate\validator\test\internal\engine\groups\validationordergenerator\ValidationOrderGeneratorTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hibernate_hibernate-validator\hibernate-validator\engine\src\main\java\org\hibernate\validator\internal\engine\groups\ValidationOrderGenerator.java,hibernate_hibernate-validator/hibernate-validator/engine/src/test/java/org/hibernate/validator/test/internal/engine/groups/validationordergenerator/ValidationOrderGeneratorTest.java,hibernate_hibernate-validator/hibernate-validator/engine/src/main/java/org/hibernate/validator/internal/engine/groups/ValidationOrderGenerator.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
HGitMaster_geotools-osgi,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\library\main\src\test\java\org\geotools\filter\function\string\StringInFunctionTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\library\main\src\main\java\org\geotools\filter\function\string\StringInFunction.java,HGitMaster_geotools-osgi/geotools-osgi/modules/library/main/src/test/java/org/geotools/filter/function/string/StringInFunctionTest.java,HGitMaster_geotools-osgi/geotools-osgi/modules/library/main/src/main/java/org/geotools/filter/function/string/StringInFunction.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
Helbrass_openjdk-fontfix,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Helbrass_openjdk-fontfix\openjdk-fontfix\openjdk7\jdk\test\com\sun\org\apache\xml\internal\security\transforms\ClassLoaderTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Helbrass_openjdk-fontfix\openjdk-fontfix\openjdk7\jdk\src\share\classes\java\lang\ClassLoader.java,Helbrass_openjdk-fontfix/openjdk-fontfix/openjdk7/jdk/test/com/sun/org/apache/xml/internal/security/transforms/ClassLoaderTest.java,Helbrass_openjdk-fontfix/openjdk-fontfix/openjdk7/jdk/src/share/classes/java/lang/ClassLoader.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
hceylan_guava,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hceylan_guava\guava\guava-tests\test\com\google\common\io\MultiInputStreamTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hceylan_guava\guava\guava\src\com\google\common\io\MultiInputStream.java,hceylan_guava/guava/guava-tests/test/com/google/common/io/MultiInputStreamTest.java,hceylan_guava/guava/guava/src/com/google/common/io/MultiInputStream.java,true,true,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,false,true,false
HGitMaster_geotools-osgi,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\unsupported\caching\src\test\java\org\geotools\caching\grid\featurecache\GridFeatureCacheTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\unsupported\caching\src\main\java\org\geotools\caching\grid\featurecache\GridFeatureCache.java,HGitMaster_geotools-osgi/geotools-osgi/modules/unsupported/caching/src/test/java/org/geotools/caching/grid/featurecache/GridFeatureCacheTest.java,HGitMaster_geotools-osgi/geotools-osgi/modules/unsupported/caching/src/main/java/org/geotools/caching/grid/featurecache/GridFeatureCache.java,true,true,false,false,false,true,false,false,true,false,false,false,false,true,true,true,false,false,false,true,false
hazelcast_hazelcast,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\test\java\com\hazelcast\internal\partition\impl\InternalPartitionServiceImplTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\main\java\com\hazelcast\internal\partition\impl\InternalPartitionServiceImpl.java,hazelcast_hazelcast/hazelcast/hazelcast/src/test/java/com/hazelcast/internal/partition/impl/InternalPartitionServiceImplTest.java,hazelcast_hazelcast/hazelcast/hazelcast/src/main/java/com/hazelcast/internal/partition/impl/InternalPartitionServiceImpl.java,true,true,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
HGitMaster_geotools-osgi,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\unsupported\ogr\src\test\java\org\geotools\data\ogr\OGRDataStoreTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\unsupported\ogr\src\main\java\org\geotools\data\ogr\OGRDataStore.java,HGitMaster_geotools-osgi/geotools-osgi/modules/unsupported/ogr/src/test/java/org/geotools/data/ogr/OGRDataStoreTest.java,HGitMaster_geotools-osgi/geotools-osgi/modules/unsupported/ogr/src/main/java/org/geotools/data/ogr/OGRDataStore.java,true,true,true,false,false,true,false,true,true,false,false,false,false,true,true,true,true,false,true,true,false
hoatle_exo.social.client,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hoatle_exo.social.client\exo.social.client\src\test\java\org\exoplatform\social\client\core\model\ModelImplTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hoatle_exo.social.client\exo.social.client\src\main\java\org\exoplatform\social\client\core\model\ModelImpl.java,hoatle_exo.social.client/exo.social.client/src/test/java/org/exoplatform/social/client/core/model/ModelImplTest.java,hoatle_exo.social.client/exo.social.client/src/main/java/org/exoplatform/social/client/core/model/ModelImpl.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false
hazelcast_hazelcast,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\test\java\com\hazelcast\internal\serialization\impl\ObjectDataOutputStreamTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hazelcast_hazelcast\hazelcast\hazelcast\src\main\java\com\hazelcast\internal\serialization\impl\ObjectDataOutputStream.java,hazelcast_hazelcast/hazelcast/hazelcast/src/test/java/com/hazelcast/internal/serialization/impl/ObjectDataOutputStreamTest.java,hazelcast_hazelcast/hazelcast/hazelcast/src/main/java/com/hazelcast/internal/serialization/impl/ObjectDataOutputStream.java,false,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
hceylan_guava,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hceylan_guava\guava\guava-tests\test\com\google\common\collect\ForwardingConcurrentMapTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\hceylan_guava\guava\guava\src\com\google\common\collect\ForwardingConcurrentMap.java,hceylan_guava/guava/guava-tests/test/com/google/common/collect/ForwardingConcurrentMapTest.java,hceylan_guava/guava/guava/src/com/google/common/collect/ForwardingConcurrentMap.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false
HGitMaster_geotools-osgi,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\library\main\src\test\java\org\geotools\feature\collection\SubFeatureCollectionTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\library\main\src\main\java\org\geotools\feature\collection\SubFeatureCollection.java,HGitMaster_geotools-osgi/geotools-osgi/modules/library/main/src/test/java/org/geotools/feature/collection/SubFeatureCollectionTest.java,HGitMaster_geotools-osgi/geotools-osgi/modules/library/main/src/main/java/org/geotools/feature/collection/SubFeatureCollection.java,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
HGitMaster_geotools-osgi,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\plugin\jdbc\jdbc-db2\src\test\java\org\geotools\data\db2\DB2DataStoreFactoryTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\plugin\db2\src\main\java\org\geotools\data\db2\DB2DataStoreFactory.java,HGitMaster_geotools-osgi/geotools-osgi/modules/plugin/jdbc/jdbc-db2/src/test/java/org/geotools/data/db2/DB2DataStoreFactoryTest.java,HGitMaster_geotools-osgi/geotools-osgi/modules/plugin/db2/src/main/java/org/geotools/data/db2/DB2DataStoreFactory.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
Helbrass_openjdk-fontfix,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Helbrass_openjdk-fontfix\openjdk-fontfix\openjdk7\jdk\test\java\awt\image\MemoryLeakTest\MemoryLeakTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\Helbrass_openjdk-fontfix\openjdk-fontfix\openjdk7\jdk\test\java\io\readBytes\MemoryLeak.java,Helbrass_openjdk-fontfix/openjdk-fontfix/openjdk7/jdk/test/java/awt/image/MemoryLeakTest/MemoryLeakTest.java,Helbrass_openjdk-fontfix/openjdk-fontfix/openjdk7/jdk/test/java/io/readBytes/MemoryLeak.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
helun_Ektorp,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\helun_Ektorp\Ektorp\org.ektorp\src\test\java\org\ektorp\support\OpenCouchDbDocumentTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\helun_Ektorp\Ektorp\org.ektorp\src\main\java\org\ektorp\support\OpenCouchDbDocument.java,helun_Ektorp/Ektorp/org.ektorp/src/test/java/org/ektorp/support/OpenCouchDbDocumentTest.java,helun_Ektorp/Ektorp/org.ektorp/src/main/java/org/ektorp/support/OpenCouchDbDocument.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false
huxi_lilith,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\huxi_lilith\lilith\logback\converter-classic\src\test\java\de\huxhorn\lilith\data\logging\logback\LogbackLoggingConverterTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\huxi_lilith\lilith\logback\converter-classic\src\main\java\de\huxhorn\lilith\data\logging\logback\LogbackLoggingConverter.java,huxi_lilith/lilith/logback/converter-classic/src/test/java/de/huxhorn/lilith/data/logging/logback/LogbackLoggingConverterTest.java,huxi_lilith/lilith/logback/converter-classic/src/main/java/de/huxhorn/lilith/data/logging/logback/LogbackLoggingConverter.java,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
HGitMaster_geotools-osgi,EFGH,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\extension\xsd\xsd-ows\src\test\java\org\geotools\ows\v1_1\bindings\GetCapabilitiesTypeBindingTest.java,D:\ryosuke-ku\data_set\Git_20161108\EFGH\HGitMaster_geotools-osgi\geotools-osgi\modules\extension\xsd\xsd-ows\src\main\java\org\geotools\ows\bindings\GetCapabilitiesTypeBinding.java,HGitMaster_geotools-osgi/geotools-osgi/modules/extension/xsd/xsd-ows/src/test/java/org/geotools/ows/v1_1/bindings/GetCapabilitiesTypeBindingTest.java,HGitMaster_geotools-osgi/geotools-osgi/modules/extension/xsd/xsd-ows/src/main/java/org/geotools/ows/bindings/GetCapabilitiesTypeBinding.java,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
