App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
illumos_opengrok,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\illumos_opengrok\opengrok\test\org\opensolaris\opengrok\management\client\AgentConnectionTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\illumos_opengrok\opengrok\src\org\opensolaris\opengrok\management\client\AgentConnection.java,illumos_opengrok/opengrok/test/org/opensolaris/opengrok/management/client/AgentConnectionTest.java,illumos_opengrok/opengrok/src/org/opensolaris/opengrok/management/client/AgentConnection.java,true,false,false,false,false,true,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false
impetus-opensource_Kundera,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\impetus-opensource_Kundera\Kundera\src\kundera-hbase\kundera-hbase-v2\src\test\java\com\impetus\client\hbase\crud\datatypes\StudentHBaseDateTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\impetus-opensource_Kundera\Kundera\src\kundera-hbase\kundera-hbase\src\test\java\com\impetus\client\hbase\crud\datatypes\entities\StudentHBaseDate.java,impetus-opensource_Kundera/Kundera/src/kundera-hbase/kundera-hbase-v2/src/test/java/com/impetus/client/hbase/crud/datatypes/StudentHBaseDateTest.java,impetus-opensource_Kundera/Kundera/src/kundera-hbase/kundera-hbase/src/test/java/com/impetus/client/hbase/crud/datatypes/entities/StudentHBaseDate.java,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false
imeji-community_imeji,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\imeji-community_imeji\imeji\src\test\java\de\mpg\imeji\testimpl\logic\auth\HttpAuthenticationTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\imeji-community_imeji\imeji\src\main\java\de\mpg\imeji\logic\auth\authentication\impl\HttpAuthentication.java,imeji-community_imeji/imeji/src/test/java/de/mpg/imeji/testimpl/logic/auth/HttpAuthenticationTest.java,imeji-community_imeji/imeji/src/main/java/de/mpg/imeji/logic/auth/authentication/impl/HttpAuthentication.java,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
impetus-opensource_Kundera,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\impetus-opensource_Kundera\Kundera\src\kundera-mongo\src\test\java\com\impetus\client\crud\datatypes\StudentMongoIntTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\impetus-opensource_Kundera\Kundera\src\kundera-mongo\src\test\java\com\impetus\client\crud\datatypes\entities\StudentMongoInt.java,impetus-opensource_Kundera/Kundera/src/kundera-mongo/src/test/java/com/impetus/client/crud/datatypes/StudentMongoIntTest.java,impetus-opensource_Kundera/Kundera/src/kundera-mongo/src/test/java/com/impetus/client/crud/datatypes/entities/StudentMongoInt.java,true,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false
intermine_intermine,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\intermine_intermine\intermine\intermine\objectstore\test\src\org\intermine\sql\query\ConstraintSetTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\intermine_intermine\intermine\intermine\objectstore\main\src\org\intermine\objectstore\query\ConstraintSet.java,intermine_intermine/intermine/intermine/objectstore/test/src/org/intermine/sql/query/ConstraintSetTest.java,intermine_intermine/intermine/intermine/objectstore/main/src/org/intermine/objectstore/query/ConstraintSet.java,true,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false
impetus-opensource_Kundera,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\impetus-opensource_Kundera\Kundera\src\kundera-rdbms\src\test\java\com\impetus\client\crud\ResultIteratorTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\impetus-opensource_Kundera\Kundera\src\kundera-cassandra\cassandra-core\src\main\java\com\impetus\client\cassandra\query\ResultIterator.java,impetus-opensource_Kundera/Kundera/src/kundera-rdbms/src/test/java/com/impetus/client/crud/ResultIteratorTest.java,impetus-opensource_Kundera/Kundera/src/kundera-cassandra/cassandra-core/src/main/java/com/impetus/client/cassandra/query/ResultIterator.java,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false
intermine_intermine,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\intermine_intermine\intermine\intermine\objectstore\test\src\org\intermine\util\MappingUtilTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\intermine_intermine\intermine\intermine\objectstore\main\src\org\intermine\util\MappingUtil.java,intermine_intermine/intermine/intermine/objectstore/test/src/org/intermine/util/MappingUtilTest.java,intermine_intermine/intermine/intermine/objectstore/main/src/org/intermine/util/MappingUtil.java,true,false,true,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false
improuv_wall-e,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\improuv_wall-e\wall-e\wall-e-test\src\test\com\improuv\walle\listeners\LightSensorListenerTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\improuv_wall-e\wall-e\wall-e\src\main\com\improuv\walle\listeners\LightSensorListener.java,improuv_wall-e/wall-e/wall-e-test/src/test/com/improuv/walle/listeners/LightSensorListenerTest.java,improuv_wall-e/wall-e/wall-e/src/main/com/improuv/walle/listeners/LightSensorListener.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false
intermine_intermine,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\intermine_intermine\intermine\bio\sources\identifiers\zfin-identifiers\test\src\org\intermine\bio\dataconversion\ZfinIdentifiersConverterTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\intermine_intermine\intermine\bio\sources\identifiers\zfin-identifiers\main\src\org\intermine\bio\dataconversion\ZfinIdentifiersConverter.java,intermine_intermine/intermine/bio/sources/identifiers/zfin-identifiers/test/src/org/intermine/bio/dataconversion/ZfinIdentifiersConverterTest.java,intermine_intermine/intermine/bio/sources/identifiers/zfin-identifiers/main/src/org/intermine/bio/dataconversion/ZfinIdentifiersConverter.java,false,false,true,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false
intelie_lognit-cli,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\intelie_lognit-cli\lognit-cli\src\test\java\net\intelie\lognit\cli\http\JsonMessageListenerTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\intelie_lognit-cli\lognit-cli\src\main\java\net\intelie\lognit\cli\http\JsonMessageListener.java,intelie_lognit-cli/lognit-cli/src/test/java/net/intelie/lognit/cli/http/JsonMessageListenerTest.java,intelie_lognit-cli/lognit-cli/src/main/java/net/intelie/lognit/cli/http/JsonMessageListener.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
