App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
jenkinsci_deploy-plugin,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jenkinsci_deploy-plugin\deploy-plugin\src\test\java\hudson\plugins\deploy\glassfish\GlassFish3xAdapterTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jenkinsci_deploy-plugin\deploy-plugin\src\main\java\hudson\plugins\deploy\glassfish\GlassFish3xAdapter.java,jenkinsci_deploy-plugin/deploy-plugin/src/test/java/hudson/plugins/deploy/glassfish/GlassFish3xAdapterTest.java,jenkinsci_deploy-plugin/deploy-plugin/src/main/java/hudson/plugins/deploy/glassfish/GlassFish3xAdapter.java,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,true,true,false,true,false,false
jbehave_jbehave-eclipse,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jbehave_jbehave-eclipse\jbehave-eclipse\org.jbehave.eclipse\test\org\jbehave\eclipse\util\MonitoredExecutorTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jbehave_jbehave-eclipse\jbehave-eclipse\org.jbehave.eclipse\src\org\jbehave\eclipse\util\MonitoredExecutor.java,jbehave_jbehave-eclipse/jbehave-eclipse/org.jbehave.eclipse/test/org/jbehave/eclipse/util/MonitoredExecutorTest.java,jbehave_jbehave-eclipse/jbehave-eclipse/org.jbehave.eclipse/src/org/jbehave/eclipse/util/MonitoredExecutor.java,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
johnmay_centres,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\johnmay_centres\centres\priority\src\test\java\uk\ac\ebi\centres\priority\descriptor\DescriptorListTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\johnmay_centres\centres\priority\src\main\java\uk\ac\ebi\centres\priority\descriptor\DescriptorList.java,johnmay_centres/centres/priority/src/test/java/uk/ac/ebi/centres/priority/descriptor/DescriptorListTest.java,johnmay_centres/centres/priority/src/main/java/uk/ac/ebi/centres/priority/descriptor/DescriptorList.java,true,true,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false
jfree_jfreechart-fse,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jfree_jfreechart-fse\jfreechart-fse\src\test\java\org\jfree\chart\renderer\RendererUtilitiesTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jfree_jfreechart-fse\jfreechart-fse\src\main\java\org\jfree\chart\renderer\RendererUtilities.java,jfree_jfreechart-fse/jfreechart-fse/src/test/java/org/jfree/chart/renderer/RendererUtilitiesTest.java,jfree_jfreechart-fse/jfreechart-fse/src/main/java/org/jfree/chart/renderer/RendererUtilities.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false
jacoco_eclemma,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jacoco_eclemma\eclemma\com.mountainminds.eclemma.core.test\src\com\mountainminds\eclemma\internal\core\ExecutionDataFilesTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jacoco_eclemma\eclemma\com.mountainminds.eclemma.core\src\com\mountainminds\eclemma\internal\core\ExecutionDataFiles.java,jacoco_eclemma/eclemma/com.mountainminds.eclemma.core.test/src/com/mountainminds/eclemma/internal/core/ExecutionDataFilesTest.java,jacoco_eclemma/eclemma/com.mountainminds.eclemma.core/src/com/mountainminds/eclemma/internal/core/ExecutionDataFiles.java,true,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false,false,true,true,false
jclouds_jclouds,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jclouds_jclouds\jclouds\apis\rackspace-cloudloadbalancers\src\test\java\org\jclouds\rackspace\cloudloadbalancers\v1\functions\ParseLoadBalancerTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jclouds_jclouds\jclouds\apis\rackspace-cloudloadbalancers\src\main\java\org\jclouds\rackspace\cloudloadbalancers\v1\functions\ParseLoadBalancer.java,jclouds_jclouds/jclouds/apis/rackspace-cloudloadbalancers/src/test/java/org/jclouds/rackspace/cloudloadbalancers/v1/functions/ParseLoadBalancerTest.java,jclouds_jclouds/jclouds/apis/rackspace-cloudloadbalancers/src/main/java/org/jclouds/rackspace/cloudloadbalancers/v1/functions/ParseLoadBalancer.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
JetBrains_intellij-community,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\JetBrains_intellij-community\intellij-community\platform\platform-tests\testSrc\com\intellij\util\indexing\FileTypeIndexTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\JetBrains_intellij-community\intellij-community\platform\indexing-impl\src\com\intellij\psi\search\FileTypeIndex.java,JetBrains_intellij-community/intellij-community/platform/platform-tests/testSrc/com/intellij/util/indexing/FileTypeIndexTest.java,JetBrains_intellij-community/intellij-community/platform/indexing-impl/src/com/intellij/psi/search/FileTypeIndex.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
jmchilton_TINT,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jmchilton_TINT\TINT\projects\TropixClient\src\test\edu\umn\msi\tropix\client\request\actions\impl\ServiceResultXmlUtilsTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jmchilton_TINT\TINT\projects\TropixClient\src\impl\edu\umn\msi\tropix\client\request\actions\impl\ServiceResultXmlUtils.java,jmchilton_TINT/TINT/projects/TropixClient/src/test/edu/umn/msi/tropix/client/request/actions/impl/ServiceResultXmlUtilsTest.java,jmchilton_TINT/TINT/projects/TropixClient/src/impl/edu/umn/msi/tropix/client/request/actions/impl/ServiceResultXmlUtils.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
jfree_jfreechart-fse,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jfree_jfreechart-fse\jfreechart-fse\src\test\java\org\jfree\chart\plot\dial\DialValueIndicatorTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jfree_jfreechart-fse\jfreechart-fse\src\main\java\org\jfree\chart\plot\dial\DialValueIndicator.java,jfree_jfreechart-fse/jfreechart-fse/src/test/java/org/jfree/chart/plot/dial/DialValueIndicatorTest.java,jfree_jfreechart-fse/jfreechart-fse/src/main/java/org/jfree/chart/plot/dial/DialValueIndicator.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false
jtalks-org_poulpe,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jtalks-org_poulpe\poulpe\poulpe-view\poulpe-web-controller\src\test\java\org\jtalks\poulpe\web\controller\section\dialogs\BranchEditingDialogTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\jtalks-org_poulpe\poulpe\poulpe-view\poulpe-web-controller\src\main\java\org\jtalks\poulpe\web\controller\section\dialogs\BranchEditingDialog.java,jtalks-org_poulpe/poulpe/poulpe-view/poulpe-web-controller/src/test/java/org/jtalks/poulpe/web/controller/section/dialogs/BranchEditingDialogTest.java,jtalks-org_poulpe/poulpe/poulpe-view/poulpe-web-controller/src/main/java/org/jtalks/poulpe/web/controller/section/dialogs/BranchEditingDialog.java,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,false
