App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
krasserm_ipf,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\krasserm_ipf\ipf\commons\ihe\xds\src\test\java\org\openehealth\ipf\commons\ihe\xds\core\transform\requests\ebxml30\FindFoldersForMultiplePatientsQueryTransformerTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\krasserm_ipf\ipf\commons\ihe\xds\src\main\java\org\openehealth\ipf\commons\ihe\xds\core\transform\requests\query\FindFoldersForMultiplePatientsQueryTransformer.java,krasserm_ipf/ipf/commons/ihe/xds/src/test/java/org/openehealth/ipf/commons/ihe/xds/core/transform/requests/ebxml30/FindFoldersForMultiplePatientsQueryTransformerTest.java,krasserm_ipf/ipf/commons/ihe/xds/src/main/java/org/openehealth/ipf/commons/ihe/xds/core/transform/requests/query/FindFoldersForMultiplePatientsQueryTransformer.java,true,false,false,false,false,false,true,false,false,false,true,false,false,true,true,false,false,false,false,true,false
krasserm_ipf,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\krasserm_ipf\ipf\commons\core\src\test\java\org\openehealth\ipf\commons\core\datetime\DurationTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\krasserm_ipf\ipf\commons\core\src\main\java\org\openehealth\ipf\commons\core\datetime\Duration.java,krasserm_ipf/ipf/commons/core/src/test/java/org/openehealth/ipf/commons/core/datetime/DurationTest.java,krasserm_ipf/ipf/commons/core/src/main/java/org/openehealth/ipf/commons/core/datetime/Duration.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
katari_Katari,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\katari_Katari\Katari\dev\katari-gadget-container\src\test\java\com\globant\katari\gadgetcontainer\domain\ApplicationRepositoryTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\katari_Katari\Katari\dev\katari-gadget-container\src\main\java\com\globant\katari\gadgetcontainer\domain\ApplicationRepository.java,katari_Katari/Katari/dev/katari-gadget-container/src/test/java/com/globant/katari/gadgetcontainer/domain/ApplicationRepositoryTest.java,katari_Katari/Katari/dev/katari-gadget-container/src/main/java/com/globant/katari/gadgetcontainer/domain/ApplicationRepository.java,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false
kendzi_kendzi3d,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\kendzi_kendzi3d\kendzi3d\kendzi3d-collada-exporter\src\test\java\kendzi\util\index\SimplifyIndexTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\kendzi_kendzi3d\kendzi3d\kendzi3d-collada-exporter\src\main\java\kendzi\util\index\SimplifyIndex.java,kendzi_kendzi3d/kendzi3d/kendzi3d-collada-exporter/src/test/java/kendzi/util/index/SimplifyIndexTest.java,kendzi_kendzi3d/kendzi3d/kendzi3d-collada-exporter/src/main/java/kendzi/util/index/SimplifyIndex.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false
KristianKarl_GraphWalker,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\KristianKarl_GraphWalker\GraphWalker\src\test\java\org\graphwalker\conditions\CombinationalConditionTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\KristianKarl_GraphWalker\GraphWalker\src\main\java\org\graphwalker\conditions\CombinationalCondition.java,KristianKarl_GraphWalker/GraphWalker/src/test/java/org/graphwalker/conditions/CombinationalConditionTest.java,KristianKarl_GraphWalker/GraphWalker/src/main/java/org/graphwalker/conditions/CombinationalCondition.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false
ki82_svn-revert-plugin,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\ki82_svn-revert-plugin\svn-revert-plugin\src\test\java\jenkins\plugins\svn_revert\RevertMailFormatterTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\ki82_svn-revert-plugin\svn-revert-plugin\src\main\java\jenkins\plugins\svn_revert\RevertMailFormatter.java,ki82_svn-revert-plugin/svn-revert-plugin/src/test/java/jenkins/plugins/svn_revert/RevertMailFormatterTest.java,ki82_svn-revert-plugin/svn-revert-plugin/src/main/java/jenkins/plugins/svn_revert/RevertMailFormatter.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
kumai_kt4j,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\kumai_kt4j\kt4j\src\test\kt4j\ExpirationTimeTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\kumai_kt4j\kt4j\src\java\kt4j\ExpirationTime.java,kumai_kt4j/kt4j/src/test/kt4j/ExpirationTimeTest.java,kumai_kt4j/kt4j/src/java/kt4j/ExpirationTime.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
kohsuke_hudson,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\kohsuke_hudson\hudson\core\src\test\java\jenkins\util\VirtualFileTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\kohsuke_hudson\hudson\core\src\main\java\jenkins\util\VirtualFile.java,kohsuke_hudson/hudson/core/src/test/java/jenkins/util/VirtualFileTest.java,kohsuke_hudson/hudson/core/src/main/java/jenkins/util/VirtualFile.java,true,false,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,true,false,false
krasserm_ipf,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\krasserm_ipf\ipf\modules\cda\mdht\src\test\java\org\openehealth\ipf\modules\cda\CDAR2ValidatorTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\krasserm_ipf\ipf\modules\cda\mdht\src\main\java\org\openehealth\ipf\modules\cda\CDAR2Validator.java,krasserm_ipf/ipf/modules/cda/mdht/src/test/java/org/openehealth/ipf/modules/cda/CDAR2ValidatorTest.java,krasserm_ipf/ipf/modules/cda/mdht/src/main/java/org/openehealth/ipf/modules/cda/CDAR2Validator.java,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false
kurtharriger_spring-osgi,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\kurtharriger_spring-osgi\spring-osgi\core\src\test\java\org\springframework\osgi\util\SimpleLoggerTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\kurtharriger_spring-osgi\spring-osgi\core\src\main\java\org\springframework\osgi\util\SimpleLogger.java,kurtharriger_spring-osgi/spring-osgi/core/src/test/java/org/springframework/osgi/util/SimpleLoggerTest.java,kurtharriger_spring-osgi/spring-osgi/core/src/main/java/org/springframework/osgi/util/SimpleLogger.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
