App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
lmco_eurekastreams,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lmco_eurekastreams\eurekastreams\server\src\test\java\org\eurekastreams\server\persistence\mappers\db\DeleteEntityByIdDbMapperTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lmco_eurekastreams\eurekastreams\server\src\main\java\org\eurekastreams\server\persistence\mappers\db\DeleteEntityByIdDbMapper.java,lmco_eurekastreams/eurekastreams/server/src/test/java/org/eurekastreams/server/persistence/mappers/db/DeleteEntityByIdDbMapperTest.java,lmco_eurekastreams/eurekastreams/server/src/main/java/org/eurekastreams/server/persistence/mappers/db/DeleteEntityByIdDbMapper.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false
liveservices_LiveSDK-for-Android,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\liveservices_LiveSDK-for-Android\LiveSDK-for-Android\unittest\src\com\microsoft\live\UploadRequestTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\liveservices_LiveSDK-for-Android\LiveSDK-for-Android\src\internal\com\microsoft\live\UploadRequest.java,liveservices_LiveSDK-for-Android/LiveSDK-for-Android/unittest/src/com/microsoft/live/UploadRequestTest.java,liveservices_LiveSDK-for-Android/LiveSDK-for-Android/src/internal/com/microsoft/live/UploadRequest.java,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false
libgdx_libgdx,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\libgdx_libgdx\libgdx\tests\gdx-tests\src\com\badlogic\gdx\tests\AnimationTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\libgdx_libgdx\libgdx\gdx\src\com\badlogic\gdx\graphics\g2d\Animation.java,libgdx_libgdx/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/AnimationTest.java,libgdx_libgdx/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/Animation.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
lindenbaum_maven-erlang-plugin,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lindenbaum_maven-erlang-plugin\maven-erlang-plugin\src\test\java\eu\lindenbaum\maven\util\FileUtilsTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lindenbaum_maven-erlang-plugin\maven-erlang-plugin\src\main\java\eu\lindenbaum\maven\util\FileUtils.java,lindenbaum_maven-erlang-plugin/maven-erlang-plugin/src/test/java/eu/lindenbaum/maven/util/FileUtilsTest.java,lindenbaum_maven-erlang-plugin/maven-erlang-plugin/src/main/java/eu/lindenbaum/maven/util/FileUtils.java,true,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false,false,true,true,false
logentries_le_java,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\logentries_le_java\le_java\src\test\java\com\logentries\log4j\LogentriesAppenderTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\logentries_le_java\le_java\src\main\java\com\logentries\log4j\LogentriesAppender.java,logentries_le_java/le_java/src/test/java/com/logentries/log4j/LogentriesAppenderTest.java,logentries_le_java/le_java/src/main/java/com/logentries/log4j/LogentriesAppender.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
liquibase_liquibase,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\liquibase_liquibase\liquibase\liquibase-core\src\test\java\liquibase\database\core\OracleDatabaseTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\liquibase_liquibase\liquibase\liquibase-core\src\main\java\liquibase\database\core\OracleDatabase.java,liquibase_liquibase/liquibase/liquibase-core/src/test/java/liquibase/database/core/OracleDatabaseTest.java,liquibase_liquibase/liquibase/liquibase-core/src/main/java/liquibase/database/core/OracleDatabase.java,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
lmco_eurekastreams,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lmco_eurekastreams\eurekastreams\server\src\test\java\org\eurekastreams\commons\search\bootstrap\SearchIndexManagerTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lmco_eurekastreams\eurekastreams\server\src\main\java\org\eurekastreams\commons\search\bootstrap\SearchIndexManager.java,lmco_eurekastreams/eurekastreams/server/src/test/java/org/eurekastreams/commons/search/bootstrap/SearchIndexManagerTest.java,lmco_eurekastreams/eurekastreams/server/src/main/java/org/eurekastreams/commons/search/bootstrap/SearchIndexManager.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false
lindenbaum_maven-erlang-plugin,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lindenbaum_maven-erlang-plugin\maven-erlang-plugin\src\test\java\eu\lindenbaum\maven\util\ErlUtilsTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lindenbaum_maven-erlang-plugin\maven-erlang-plugin\src\main\java\eu\lindenbaum\maven\util\ErlUtils.java,lindenbaum_maven-erlang-plugin/maven-erlang-plugin/src/test/java/eu/lindenbaum/maven/util/ErlUtilsTest.java,lindenbaum_maven-erlang-plugin/maven-erlang-plugin/src/main/java/eu/lindenbaum/maven/util/ErlUtils.java,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,false,true,true,false
lindenbaum_maven-erlang-plugin,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lindenbaum_maven-erlang-plugin\maven-erlang-plugin\src\test\java\eu\lindenbaum\maven\erlang\EDocScriptTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\lindenbaum_maven-erlang-plugin\maven-erlang-plugin\src\main\java\eu\lindenbaum\maven\erlang\EDocScript.java,lindenbaum_maven-erlang-plugin/maven-erlang-plugin/src/test/java/eu/lindenbaum/maven/erlang/EDocScriptTest.java,lindenbaum_maven-erlang-plugin/maven-erlang-plugin/src/main/java/eu/lindenbaum/maven/erlang/EDocScript.java,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false
LuisSala_CORS-Java-Servlet-Filter,IJKL,D:\ryosuke-ku\data_set\Git_20161108\IJKL\LuisSala_CORS-Java-Servlet-Filter\CORS-Java-Servlet-Filter\test\com\thetransactioncompany\cors\OriginTest.java,D:\ryosuke-ku\data_set\Git_20161108\IJKL\LuisSala_CORS-Java-Servlet-Filter\CORS-Java-Servlet-Filter\src\com\thetransactioncompany\cors\Origin.java,LuisSala_CORS-Java-Servlet-Filter/CORS-Java-Servlet-Filter/test/com/thetransactioncompany/cors/OriginTest.java,LuisSala_CORS-Java-Servlet-Filter/CORS-Java-Servlet-Filter/src/com/thetransactioncompany/cors/Origin.java,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
