App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
wsy1983wsy_android-source-read,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\wsy1983wsy_android-source-read\android-source-read\android2.2\src\android\database\cts\MatrixCursorTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\wsy1983wsy_android-source-read\android-source-read\android2.2\src\android\database\MatrixCursor.java,wsy1983wsy_android-source-read/android-source-read/android2.2/src/android/database/cts/MatrixCursorTest.java,wsy1983wsy_android-source-read/android-source-read/android2.2/src/android/database/MatrixCursor.java,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,true,false,false,true,false
wolfdancer_cotta,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\wolfdancer_cotta\cotta\core\behaviour\src\net\sf\cotta\io\InputFactoryTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\wolfdancer_cotta\cotta\core\src\net\sf\cotta\io\InputFactory.java,wolfdancer_cotta/cotta/core/behaviour/src/net/sf/cotta/io/InputFactoryTest.java,wolfdancer_cotta/cotta/core/src/net/sf/cotta/io/InputFactory.java,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false
wsy1983wsy_android-source-read,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\wsy1983wsy_android-source-read\android-source-read\android2.2\src\android\content\res\cts\TypedArrayTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\wsy1983wsy_android-source-read\android-source-read\android2.2\src\android\content\res\TypedArray.java,wsy1983wsy_android-source-read/android-source-read/android2.2/src/android/content/res/cts/TypedArrayTest.java,wsy1983wsy_android-source-read/android-source-read/android2.2/src/android/content/res/TypedArray.java,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,true,false,false,true,false
unclebob_fitnesse,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\unclebob_fitnesse\fitnesse\test\fitnesse\wiki\SymbolicPageTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\unclebob_fitnesse\fitnesse\src\fitnesse\wiki\SymbolicPage.java,unclebob_fitnesse/fitnesse/test/fitnesse/wiki/SymbolicPageTest.java,unclebob_fitnesse/fitnesse/src/fitnesse/wiki/SymbolicPage.java,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,true,false,false,false,true,false
vkravets_Fido4Java,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\vkravets_Fido4Java\Fido4Java\fido-fts\src\test\java\org\fidonet\fts\FidoPathTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\vkravets_Fido4Java\Fido4Java\fido-fts\src\main\java\org\fidonet\fts\FidoPath.java,vkravets_Fido4Java/Fido4Java/fido-fts/src/test/java/org/fidonet/fts/FidoPathTest.java,vkravets_Fido4Java/Fido4Java/fido-fts/src/main/java/org/fidonet/fts/FidoPath.java,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false
wsy1983wsy_android-source-read,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\wsy1983wsy_android-source-read\android-source-read\android2.2\src\android\content\res\cts\ResourcesTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\wsy1983wsy_android-source-read\android-source-read\android2.2\src\android\content\res\Resources.java,wsy1983wsy_android-source-read/android-source-read/android2.2/src/android/content/res/cts/ResourcesTest.java,wsy1983wsy_android-source-read/android-source-read/android2.2/src/android/content/res/Resources.java,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,true,false,false,true,false
vashishthask_eclipse-to-maven,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\vashishthask_eclipse-to-maven\eclipse-to-maven\src\test\java\com\shri\eclipsetomaven\classpathentry\SrcClasspathEntryProcessorTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\vashishthask_eclipse-to-maven\eclipse-to-maven\src\main\java\com\shri\eclipsetomaven\classpathentry\SrcClasspathEntryProcessor.java,vashishthask_eclipse-to-maven/eclipse-to-maven/src/test/java/com/shri/eclipsetomaven/classpathentry/SrcClasspathEntryProcessorTest.java,vashishthask_eclipse-to-maven/eclipse-to-maven/src/main/java/com/shri/eclipsetomaven/classpathentry/SrcClasspathEntryProcessor.java,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false
vivo-project_VIVO-Harvester,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\vivo-project_VIVO-Harvester\VIVO-Harvester\src\test\java\org\vivoweb\test\harvester\score\ScoreTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\vivo-project_VIVO-Harvester\VIVO-Harvester\src\main\java\org\vivoweb\harvester\score\Score.java,vivo-project_VIVO-Harvester/VIVO-Harvester/src/test/java/org/vivoweb/test/harvester/score/ScoreTest.java,vivo-project_VIVO-Harvester/VIVO-Harvester/src/main/java/org/vivoweb/harvester/score/Score.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
usus_usus-plugins,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\usus_usus-plugins\usus-plugins\org.projectusus.defaultmetrics\test\org\projectusus\statistics\test\LinearMethodLengthStatisticTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\usus_usus-plugins\usus-plugins\org.projectusus.defaultmetrics\src\org\projectusus\statistics\LinearMethodLengthStatistic.java,usus_usus-plugins/usus-plugins/org.projectusus.defaultmetrics/test/org/projectusus/statistics/test/LinearMethodLengthStatisticTest.java,usus_usus-plugins/usus-plugins/org.projectusus.defaultmetrics/src/org/projectusus/statistics/LinearMethodLengthStatistic.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
wsy1983wsy_android-source-read,UVW,D:\ryosuke-ku\data_set\Git_20161108\UVW\wsy1983wsy_android-source-read\android-source-read\android2.2\src\android\content\pm\cts\ComponentInfoTest.java,D:\ryosuke-ku\data_set\Git_20161108\UVW\wsy1983wsy_android-source-read\android-source-read\android2.2\src\android\content\pm\ComponentInfo.java,wsy1983wsy_android-source-read/android-source-read/android2.2/src/android/content/pm/cts/ComponentInfoTest.java,wsy1983wsy_android-source-read/android-source-read/android2.2/src/android/content/pm/ComponentInfo.java,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false
