App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
zibhub_GNDMS,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zibhub_GNDMS\GNDMS\common\test-src\de\zib\gndms\common\rest\FacetTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zibhub_GNDMS\GNDMS\common\src\de\zib\gndms\common\rest\Facet.java,zibhub_GNDMS/GNDMS/common/test-src/de/zib/gndms/common/rest/FacetTest.java,zibhub_GNDMS/GNDMS/common/src/de/zib/gndms/common/rest/Facet.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false
yuyang226_FlickrjApi4Android,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\yuyang226_FlickrjApi4Android\FlickrjApi4Android\flickrj-android\src\test\java\com\googlecode\flickrandroid\people\test\PeopleInterfaceTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\yuyang226_FlickrjApi4Android\FlickrjApi4Android\flickrj-android\src\main\java\com\googlecode\flickrjandroid\people\PeopleInterface.java,yuyang226_FlickrjApi4Android/FlickrjApi4Android/flickrj-android/src/test/java/com/googlecode/flickrandroid/people/test/PeopleInterfaceTest.java,yuyang226_FlickrjApi4Android/FlickrjApi4Android/flickrj-android/src/main/java/com/googlecode/flickrjandroid/people/PeopleInterface.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
zxing_zxing,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zxing_zxing\zxing\core\src\test\java\com\google\zxing\aztec\decoder\DecoderTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zxing_zxing\zxing\core\src\main\java\com\google\zxing\aztec\decoder\Decoder.java,zxing_zxing/zxing/core/src/test/java/com/google/zxing/aztec/decoder/DecoderTest.java,zxing_zxing/zxing/core/src/main/java/com/google/zxing/aztec/decoder/Decoder.java,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
xie041_java,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\xie041_java\java\code\rest\resteasy\examples\guice-hello\src\test\java\org\jboss\resteasy\examples\guice\hello\DefaultGreeterTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\xie041_java\java\code\rest\resteasy\examples\guice-hello\src\main\java\org\jboss\resteasy\examples\guice\hello\DefaultGreeter.java,xie041_java/java/code/rest/resteasy/examples/guice-hello/src/test/java/org/jboss/resteasy/examples/guice/hello/DefaultGreeterTest.java,xie041_java/java/code/rest/resteasy/examples/guice-hello/src/main/java/org/jboss/resteasy/examples/guice/hello/DefaultGreeter.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
zople_365,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zople_365\365\lib\Hibernate_1.4.3_Jpa\hibernate-core\src\test\java\org\hibernate\test\legacy\ComponentNotNullTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zople_365\365\lib\Hibernate_1.4.3_Jpa\hibernate-core\src\test\java\org\hibernate\test\legacy\ComponentNotNull.java,zople_365/365/lib/Hibernate_1.4.3_Jpa/hibernate-core/src/test/java/org/hibernate/test/legacy/ComponentNotNullTest.java,zople_365/365/lib/Hibernate_1.4.3_Jpa/hibernate-core/src/test/java/org/hibernate/test/legacy/ComponentNotNull.java,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false
xetorthio_jedis,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\xetorthio_jedis\jedis\src\test\java\redis\clients\jedis\tests\ShardedJedisPipelineTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\xetorthio_jedis\jedis\src\main\java\redis\clients\jedis\ShardedJedisPipeline.java,xetorthio_jedis/jedis/src/test/java/redis/clients/jedis/tests/ShardedJedisPipelineTest.java,xetorthio_jedis/jedis/src/main/java/redis/clients/jedis/ShardedJedisPipeline.java,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
yegor256_s3auth,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\yegor256_s3auth\s3auth\s3auth-hosts\src\test\java\com\s3auth\hosts\DefaultDomainTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\yegor256_s3auth\s3auth\s3auth-hosts\src\main\java\com\s3auth\hosts\DefaultDomain.java,yegor256_s3auth/s3auth/s3auth-hosts/src/test/java/com/s3auth/hosts/DefaultDomainTest.java,yegor256_s3auth/s3auth/s3auth-hosts/src/main/java/com/s3auth/hosts/DefaultDomain.java,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
ymakino_echowand,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\ymakino_echowand\echowand\test\echowand\logic\TransactionTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\ymakino_echowand\echowand\src\echowand\logic\Transaction.java,ymakino_echowand/echowand/test/echowand/logic/TransactionTest.java,ymakino_echowand/echowand/src/echowand/logic/Transaction.java,true,false,false,false,false,true,true,false,false,false,false,false,true,true,true,true,false,false,false,true,false
zkoss_zk,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zkoss_zk\zk\zktest\test\java\org\zkoss\zktest\zats\bind\issue\B00821SelectedIndexTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zkoss_zk\zk\zktest\src\org\zkoss\zktest\bind\issue\B00821SelectedIndex.java,zkoss_zk/zk/zktest/test/java/org/zkoss/zktest/zats/bind/issue/B00821SelectedIndexTest.java,zkoss_zk/zk/zktest/src/org/zkoss/zktest/bind/issue/B00821SelectedIndex.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
ymakino_echowand,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\ymakino_echowand\echowand\test\echowand\logic\MainLoopTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\ymakino_echowand\echowand\src\echowand\logic\MainLoop.java,ymakino_echowand/echowand/test/echowand/logic/MainLoopTest.java,ymakino_echowand/echowand/src/echowand/logic/MainLoop.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false
zhupan_derbysoft-commons,XYZ,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zhupan_derbysoft-commons\derbysoft-commons\src\test\java\com\derbysoft\common\util\latlng\AzimuthsTest.java,D:\ryosuke-ku\data_set\Git_20161108\XYZ\zhupan_derbysoft-commons\derbysoft-commons\src\main\java\com\derbysoft\common\util\latlng\Azimuths.java,zhupan_derbysoft-commons/derbysoft-commons/src/test/java/com/derbysoft/common/util/latlng/AzimuthsTest.java,zhupan_derbysoft-commons/derbysoft-commons/src/main/java/com/derbysoft/common/util/latlng/Azimuths.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
